"","citycode","countrycode","cityname","countryname","nrecord","pm10","pm25","o3","no2","so2","co","startyear","endyear","nopollutiondata","o38h","co8h"
"1390","snjs.usa7306","usa7306","san jose (CA)","USA",12418,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1392","sntn.usa7306","usa7306","san antonio (TX)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1393","spkn.usa7306","usa7306","spokane (WA)","USA",12418,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1394","spma.usa7306","usa7306","springfield (MA)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1395","spmo.usa7306","usa7306","springfield (MO)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1396","sprt.usa7306","usa7306","spartanburg (SC)","USA",12418,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1973,2006,FALSE,TRUE,FALSE
"1397","srst.usa7306","usa7306","sarasota (FL)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1398","stbn.usa7306","usa7306","steubenville (OH)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1399","stch.usa7306","usa7306","st. charles (MO)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1973,2006,FALSE,TRUE,FALSE
"1400","stck.usa7306","usa7306","stockton (CA)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1401","stcl.usa7306","usa7306","east st. louis (IL)","USA",12418,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1973,2006,FALSE,FALSE,FALSE
"1402","sthb.usa7306","usa7306","south bend (IN)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
"1403","stls.usa7306","usa7306","st. louis (MO)","USA",12418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1973,2006,FALSE,TRUE,FALSE
